"date","close","volume","open","high","low"
"16:00","95.74","590,845","95.91","96.0627","95.60"
"2019/09/16","95.7400","598266.0000","95.9300","96.0627","95.6000"
"2019/09/13","96.4000","1142048.0000","96.3400","97.0122","96.0200"
"2019/09/12","97.4700","2551952.0000","96.0700","98.3400","95.7400"
"2019/09/11","94.2700","1459609.0000","92.2300","94.4250","92.1000"
"2019/09/10","94.2000","1453465.0000","95.5200","95.5500","93.8000"
"2019/09/09","95.7800","2399393.0000","93.1300","95.8400","93.1300"
"2019/09/06","93.5700","1121872.0000","92.8400","93.6000","92.7900"
"2019/09/05","93.2500","1341072.0000","94.1500","94.3800","93.0600"
"2019/09/04","94.7300","632170.0000","94.6300","95.0400","94.3700"
"2019/09/03","93.9600","680042.0000","93.6800","94.1600","93.5000"
"2019/08/30","94.5000","589270.0000","95.5000","95.5400","94.3200"
"2019/08/29","95.2600","752589.0000","95.3100","95.5700","94.5400"
"2019/08/28","93.6400","790839.0000","92.5600","93.7900","92.1426"
"2019/08/27","92.9900","1522598.0000","95.1500","95.3100","92.2800"
"2019/08/26","94.8000","1058888.0000","94.7200","94.9900","94.2900"
"2019/08/23","94.1900","1018527.0000","96.0100","96.3800","93.8600"
"2019/08/22","95.5800","953927.0000","96.2000","96.2700","95.0400"
"2019/08/21","95.8700","785384.0000","96.1100","96.4100","95.6715"
"2019/08/20","94.9500","969762.0000","95.4200","95.6500","94.8400"
"2019/08/19","95.9200","955483.0000","96.2700","96.3600","95.7300"
"2019/08/16","95.2900","929138.0000","94.5000","95.4600","94.4700"
"2019/08/15","93.6300","1024567.0000","93.2100","94.0700","93.0420"
"2019/08/14","93.3600","1945755.0000","94.2700","94.3700","92.6400"
"2019/08/13","95.6700","1655406.0000","95.2200","96.9800","95.0600"
"2019/08/12","96.2700","1421948.0000","97.1400","97.3600","96.0000"
"2019/08/09","98.2200","1075941.0000","98.4200","98.7900","97.3218"
"2019/08/08","98.5100","1463704.0000","99.2000","99.2000","96.9100"
"2019/08/07","98.1700","1200413.0000","96.8400","98.5400","96.4250"
"2019/08/06","97.7000","1181922.0000","97.4000","98.1700","97.1300"
"2019/08/05","98.1900","1543854.0000","97.7300","98.4400","97.2600"
"2019/08/02","100.1900","925765.0000","100.3100","100.6700","99.3800"
"2019/08/01","100.4600","1583936.0000","101.4900","102.5900","100.1900"
"2019/07/31","100.9800","1427982.0000","101.1100","101.9900","99.7000"
"2019/07/30","101.5800","1394941.0000","101.0000","101.6900","100.9050"
"2019/07/29","101.6700","2566229.0000","101.9200","102.1300","101.2200"
"2019/07/26","100.4900","2464379.0000","99.9400","100.8400","99.7000"
"2019/07/25","99.4900","6144925.0000","100.7800","102.7000","98.3300"
"2019/07/24","95.5600","1708650.0000","95.9000","96.2400","95.0600"
"2019/07/23","95.8300","2138770.0000","95.5200","95.9100","95.2300"
"2019/07/22","94.9700","2205915.0000","94.6300","95.2600","94.3900"
"2019/07/19","94.2800","5054867.0000","94.4100","94.5400","93.0200"
"2019/07/18","89.3400","2214243.0000","88.8700","90.3763","88.4200"
"2019/07/17","88.4200","1432002.0000","89.4000","89.4000","88.1300"
"2019/07/16","88.0100","1523759.0000","88.2800","88.3700","87.6400"
"2019/07/15","88.5600","2553123.0000","87.7700","88.5800","87.6600"
"2019/07/12","86.9400","5686633.0000","88.4900","88.8500","85.2500"
"2019/07/11","89.6600","2837955.0000","90.4500","90.7900","89.2000"
"2019/07/10","91.3500","1657277.0000","91.8800","91.8800","90.6100"
"2019/07/09","91.5100","1717665.0000","91.9100","92.1100","91.2450"
"2019/07/08","91.6800","936305.0000","92.4800","92.6300","91.5550"
"2019/07/05","92.7100","1112826.0000","92.8300","92.8900","91.9600"
"2019/07/03","93.9300","1552523.0000","93.4300","94.1600","92.8700"
"2019/07/02","90.6500","1459976.0000","89.5700","90.8200","89.4700"
"2019/07/01","88.4300","1025641.0000","88.5600","88.8200","87.8500"
"2019/06/28","88.5100","890469.0000","88.2200","88.6900","88.1200"
"2019/06/27","87.2000","1107212.0000","87.1800","87.2900","86.4000"
"2019/06/26","87.3700","897581.0000","88.7100","88.7100","87.3100"
"2019/06/25","88.4000","1098063.0000","89.5700","89.7000","88.3600"
"2019/06/24","90.0800","877519.0000","89.9300","90.5900","89.8278"
"2019/06/21","90.0800","1225969.0000","89.6400","90.4800","89.4300"
"2019/06/20","89.7400","1871696.0000","89.7200","89.8300","89.0600"
"2019/06/19","87.9200","944839.0000","87.2100","88.2560","87.0700"
"2019/06/18","86.8700","2427089.0000","85.5700","87.2600","85.4900"
"2019/06/17","84.3200","779037.0000","83.9900","84.4400","83.8500"
"2019/06/14","84.1800","814634.0000","84.3700","84.8300","84.0700"
"2019/06/13","85.9300","725055.0000","86.3300","86.5700","85.5200"
"2019/06/12","86.8000","701441.0000","86.6500","87.0000","86.5600"
"2019/06/11","85.8100","885828.0000","85.8700","86.1900","85.3600"
"2019/06/10","85.3300","1029696.0000","85.6500","85.7000","85.1600"
"2019/06/07","85.3200","1174268.0000","85.4100","85.7550","84.9500"
"2019/06/06","84.1000","953640.0000","83.6900","84.1400","83.4500"
"2019/06/05","83.2700","1340325.0000","84.0000","84.0600","83.2300"
"2019/06/04","83.9400","896011.0000","83.6600","83.9600","83.1650"
"2019/06/03","82.2800","1409370.0000","81.3900","82.3900","81.0100"
"2019/05/31","81.4000","1819726.0000","80.3400","81.6300","80.0800"
"2019/05/30","82.3800","1169795.0000","81.8900","82.6900","81.8700"
"2019/05/29","81.3000","1500774.0000","81.3500","81.4800","80.5700"
"2019/05/28","82.3500","1122435.0000","82.8700","83.1200","82.2500"
"2019/05/24","82.7600","828182.0000","82.8600","83.0900","82.2800"
"2019/05/23","82.3000","1379929.0000","82.1200","82.6100","81.9650"
"2019/05/22","82.6200","1200318.0000","81.3200","82.8700","81.1600"
"2019/05/21","81.0000","1406496.0000","81.1900","81.3600","80.8000"
"2019/05/20","81.0100","990083.0000","81.8000","81.9800","80.7900"
"2019/05/17","82.6400","1147761.0000","83.2800","83.4500","82.4800"
"2019/05/16","83.8800","1233136.0000","83.0300","84.5900","83.0000"
"2019/05/15","83.8300","1637447.0000","82.2500","84.1100","82.2300"
"2019/05/14","83.0100","879900.0000","82.4600","83.5200","82.4500"
"2019/05/13","82.7300","1321431.0000","81.8500","82.8300","81.8400"
"2019/05/10","84.1400","825859.0000","84.0700","84.4400","83.2950"
"2019/05/09","83.9400","1033399.0000","83.5200","84.2200","83.0400"
"2019/05/08","84.9400","1058666.0000","84.6500","85.5027","84.4700"
"2019/05/07","84.2600","2062773.0000","85.0700","85.6700","83.7700"
"2019/05/06","87.7700","1137542.0000","87.0000","88.1900","86.8700"
"2019/05/03","88.1000","1070661.0000","88.1000","88.5850","87.6900"
"2019/05/02","87.5400","1363810.0000","88.4000","88.5200","87.1807"
"2019/05/01","87.8100","1667578.0000","88.5600","89.3700","87.6000"
"2019/04/30","88.9400","625659.0000","88.3200","89.2000","88.2200"
"2019/04/29","88.0100","840388.0000","87.3500","88.3700","87.2700"
"2019/04/26","87.5800","920429.0000","87.3800","87.6250","86.8300"
"2019/04/25","86.6400","1341678.0000","86.8900","87.0200","86.0000"
"2019/04/24","88.2100","1038366.0000","89.0200","89.1300","87.8200"
"2019/04/23","89.2500","755451.0000","88.5600","89.7900","88.5000"
"2019/04/22","89.6000","970834.0000","89.6900","90.4700","89.5800"
"2019/04/18","89.9600","1409009.0000","89.4700","90.0200","89.2204"
"2019/04/17","88.3300","1071757.0000","88.6500","88.7000","88.0800"
"2019/04/16","88.7200","803225.0000","89.0900","89.3000","88.6500"
"2019/04/15","89.1100","680728.0000","89.0300","89.1810","88.7500"
"2019/04/12","88.5400","1608273.0000","88.4300","88.6900","88.1500"
"2019/04/11","87.9700","856295.0000","87.7600","88.0900","87.5000"
"2019/04/10","87.2300","965321.0000","87.3000","87.3700","86.7600"
"2019/04/09","86.4300","990401.0000","86.1500","86.5000","86.0000"
"2019/04/08","86.0600","721521.0000","86.5700","86.5700","85.8200"
"2019/04/05","86.3200","1495735.0000","86.4100","86.9150","86.0700"
"2019/04/04","84.9900","1088561.0000","84.4000","85.1300","84.1000"
"2019/04/03","83.8500","602358.0000","83.8200","84.1200","83.5000"
"2019/04/02","84.1800","600914.0000","84.0500","84.5000","83.7100"
"2019/04/01","83.6400","617213.0000","83.5600","83.8800","83.3700"
"2019/03/29","83.9700","1094743.0000","83.7400","84.2700","83.5450"
"2019/03/28","82.7000","1065591.0000","82.2800","82.9499","82.1000"
"2019/03/27","82.4600","1770047.0000","83.1200","83.3900","81.8800"
"2019/03/26","82.0300","915184.0000","82.0650","82.2500","81.7500"
"2019/03/25","80.3500","813603.0000","80.0000","80.8000","79.9200"
"2019/03/22","80.7400","1554509.0000","82.1000","82.7400","80.7400"
"2019/03/21","83.9200","842458.0000","83.4800","83.9700","83.0300"
"2019/03/20","83.4300","1578427.0000","83.6300","84.0000","82.8600"
"2019/03/19","83.8700","2000355.0000","84.7900","84.9600","83.7600"
"2019/03/18","82.0700","680443.0000","81.9100","82.2150","81.6600"
"2019/03/15","81.2500","1573882.0000","81.1700","81.4900","80.8600"
"2019/03/14","79.6500","1247066.0000","80.0600","80.5300","79.6300"
"2019/03/13","80.7300","827882.0000","80.5500","80.8700","80.1800"
"2019/03/12","80.7000","963550.0000","81.2600","81.3400","80.6177"
"2019/03/11","80.8000","1156693.0000","80.8100","81.1800","80.4200"
"2019/03/08","80.5800","794487.0000","80.3600","80.8600","80.2000"
"2019/03/07","80.3600","1452581.0000","80.5800","80.7400","80.1399"
"2019/03/06","82.1300","1444328.0000","82.0700","82.4500","81.4700"
"2019/03/05","82.2000","1469224.0000","81.9600","82.5900","81.7000"
"2019/03/04","81.7800","2076067.0000","82.6000","82.6300","80.6150"
"2019/03/01","81.9600","4436413.0000","82.0200","82.9500","81.8100"
"2019/02/28","78.1600","3023846.0000","78.6900","78.8900","77.0700"
"2019/02/27","74.7200","1555022.0000","74.9000","75.0800","74.4000"
"2019/02/26","75.2000","1558199.0000","74.5000","75.4200","74.4100"
"2019/02/25","74.8600","2066673.0000","75.4800","75.6700","74.4965"
"2019/02/22","75.0400","3278673.0000","74.6000","75.1000","73.5700"
"2019/02/21","77.5000","730040.0000","77.4700","77.8600","77.1600"
"2019/02/20","77.6800","992509.0000","76.9200","78.6000","76.9100"
"2019/02/19","77.1100","846560.0000","76.4600","77.3500","76.2500"
"2019/02/15","77.6900","1243817.0000","77.1500","77.8100","76.8844"
"2019/02/14","75.9000","2109760.0000","76.7800","76.8100","75.2299"
"2019/02/13","77.7400","1646235.0000","77.7900","78.6600","77.6800"
"2019/02/12","76.3500","1348311.0000","75.4700","76.6600","75.4700"
"2019/02/11","76.3700","1175061.0000","76.1900","76.5600","76.1100"
"2019/02/08","76.1500","1480931.0000","75.5800","76.1700","75.4300"
"2019/02/07","76.9000","1477595.0000","76.8700","77.2200","76.4800"
"2019/02/06","78.3000","968560.0000","78.8900","79.0000","78.2800"
"2019/02/05","78.8600","1089839.0000","78.1400","79.2100","78.0000"
"2019/02/04","77.4100","812425.0000","76.8900","77.5000","76.7000"
"2019/02/01","76.8400","1400834.0000","76.5000","77.3900","76.3600"
"2019/01/31","76.4400","1485329.0000","75.4900","76.8300","75.2700"
"2019/01/30","74.9400","1042431.0000","74.3200","75.2100","74.2400"
"2019/01/29","73.9900","1360539.0000","73.7800","74.1100","73.6000"
"2019/01/28","73.6800","1499981.0000","73.3000","73.7700","72.8700"
"2019/01/25","74.8600","1268526.0000","74.5400","75.1300","74.3200"
"2019/01/24","74.2500","1952209.0000","73.7800","74.7950","73.7400"
"2019/01/23","73.9100","1806741.0000","73.6100","74.0000","73.3200"
"2019/01/22","73.5000","2634801.0000","72.9800","73.5400","72.5300"
"2019/01/18","73.6500","1975927.0000","73.1400","73.8100","72.8600"
"2019/01/17","71.9800","1150089.0000","70.9300","72.1300","70.9100"
"2019/01/16","70.5000","1792744.0000","71.0800","71.1500","70.1500"
"2019/01/15","72.5200","1215583.0000","72.1700","72.8500","71.9800"
"2019/01/14","72.5300","1565937.0000","72.8300","73.0100","72.1200"
"2019/01/11","73.7300","3835515.0000","72.7000","73.9700","71.9200"
"2019/01/10","70.7600","1190132.0000","69.7400","70.9300","69.3900"
"2019/01/09","70.2400","1597443.0000","69.9000","70.6600","69.8205"
"2019/01/08","70.7500","1512551.0000","70.4600","70.9700","70.0872"
"2019/01/07","69.4000","1646802.0000","68.5400","69.7000","68.5000"
"2019/01/04","69.0900","2097219.0000","67.1700","69.2550","67.1200"
"2019/01/03","66.4200","1433875.0000","66.2600","66.9300","66.2200"
"2019/01/02","65.9100","1820242.0000","65.1500","66.0500","64.9900"
"2018/12/31","65.8100","2112653.0000","65.6300","65.8100","64.8000"
"2018/12/28","65.8700","3348469.0000","66.5300","66.8100","65.3200"
"2018/12/27","66.3000","2371741.0000","65.4800","66.3000","64.5450"
"2018/12/26","66.9300","2087367.0000","65.4300","66.9500","64.6500"
