date,ACB,GWPH,CRON,CGC,TLRY,APHA
,close,close,close,close,close,close
,,,,,,
9/21/2018,,164.98,12.51,49.78,123,15.31
9/24/2018,,166.52,11.86,52.5,99.5,15.4
9/25/2018,,170,11.47,52.74,107.88,15.08
9/26/2018,,163.12,11.13,51.98,114.5,14.63
9/27/2018,,174.5,10.94,49.42,131.3,13.64
9/28/2018,,172.74,11.12,48.64,143.62,13.94
10/1/2018,,167.26,11.32,48.85,164.98,13.85
10/2/2018,,162.33,10.72,45.74,138.17,12.51
10/3/2018,,164.07,10.69,49.28,156.83,13.2
10/4/2018,,156.95,10.22,48.32,145.57,12.68
10/5/2018,,151.72,9.77,47.49,146.91,12.59
10/8/2018,,146.06,9.7,50.41,140,13.29
10/9/2018,,146.2,9.34,48.72,128.96,13.4
10/10/2018,,139.44,9.6,47.86,136.8,15.3
10/11/2018,,140.96,9.05,47.14,131.95,15.1
10/12/2018,,143.32,9.86,49.8,148.3,14.65
10/15/2018,,143.23,11.74,56.89,165.64,15.35
10/16/2018,,147.47,11.52,53.01,158.38,14.43
10/17/2018,,147.23,10.65,50.69,148.25,14.92
10/18/2018,,145.31,10.72,48.91,152.53,14.89
10/19/2018,,142.59,9.71,46.85,145.3,13.94
10/22/2018,,139.66,8.52,41.6,122.6,12.03
10/23/2018,,143.2,8.34,41.01,120.79,12.14
10/24/2018,7.27,136.17,7.63,37.76,109.29,11.27
10/25/2018,7.49,138.21,8.11,39.47,106.75,12.39
10/26/2018,7.04,135.9,7.78,38.7,108.08,11.79
10/29/2018,5.91,133.69,6.8,33.07,90.68,9.76
10/30/2018,6.09,131.93,7.05,33.97,90.1,10.13
10/31/2018,6.8,137.49,7.42,36.89,94.79,11.93
11/1/2018,6.73,147.25,7.7,37.03,98.98,11.57
11/2/2018,7.02,145.71,8.06,37.14,99.49,12
11/5/2018,7.35,143.62,8.25,40.09,100.98,12.25
11/6/2018,7.4,142.67,9.05,42.59,106.86,12.72
11/7/2018,8.08,150.73,9.81,46.07,139.6,13.22
11/8/2018,7.56,148.09,8.94,42.45,118.7,12.61
11/9/2018,7.29,137.87,8.55,39.14,108.99,12.31
11/12/2018,6.96,134.32,8.45,39.18,113.44,11.28
11/13/2018,6.7,132.18,8.31,38.48,111.55,10.3
11/14/2018,6.16,129.25,8.12,34.3,102.34,9.54
11/15/2018,6.64,130.34,8.59,35.33,107.27,10.29
11/16/2018,6.4,132.3,8.56,35.21,110.48,9.74
