,ACB,GWPH,CRON,CGC,TLRY,APHA
,close,close,close,close,close,close
date,,,,,,
2018-09-21,,164.98,12.51,49.78,123.0,15.31
2018-09-24,,166.52,11.86,52.5,99.5,15.4
2018-09-25,,170.0,11.47,52.74,107.88,15.08
2018-09-26,,163.12,11.13,51.98,114.5,14.63
2018-09-27,,174.5,10.94,49.42,131.3,13.64
2018-09-28,,172.74,11.12,48.64,143.62,13.94
2018-10-01,,167.26,11.32,48.85,164.98,13.85
2018-10-02,,162.33,10.72,45.74,138.17,12.51
2018-10-03,,164.07,10.69,49.28,156.83,13.2
2018-10-04,,156.95,10.22,48.32,145.57,12.68
2018-10-05,,151.72,9.77,47.49,146.91,12.59
2018-10-08,,146.06,9.7,50.41,140.0,13.29
2018-10-09,,146.2,9.34,48.72,128.96,13.4
2018-10-10,,139.44,9.6,47.86,136.8,15.3
2018-10-11,,140.96,9.05,47.14,131.95,15.1
2018-10-12,,143.32,9.86,49.8,148.3,14.65
2018-10-15,,143.23,11.74,56.89,165.64,15.35
2018-10-16,,147.47,11.52,53.01,158.38,14.43
2018-10-17,,147.23,10.65,50.69,148.25,14.92
2018-10-18,,145.31,10.72,48.91,152.53,14.89
2018-10-19,,142.59,9.71,46.85,145.3,13.94
2018-10-22,,139.66,8.52,41.6,122.6,12.03
2018-10-23,,143.2,8.34,41.01,120.79,12.14
2018-10-24,7.27,136.17,7.63,37.76,109.29,11.27
2018-10-25,7.49,138.21,8.11,39.47,106.75,12.39
2018-10-26,7.04,135.9,7.78,38.7,108.08,11.79
2018-10-29,5.91,133.69,6.8,33.07,90.68,9.76
2018-10-30,6.09,131.93,7.05,33.97,90.1,10.13
2018-10-31,6.8,137.49,7.42,36.89,94.79,11.93
2018-11-01,6.73,147.25,7.7,37.03,98.98,11.57
2018-11-02,7.02,145.71,8.06,37.14,99.49,12.0
2018-11-05,7.35,143.62,8.25,40.09,100.98,12.25
2018-11-06,7.4,142.67,9.05,42.59,106.86,12.72
2018-11-07,8.08,150.73,9.81,46.07,139.6,13.22
2018-11-08,7.56,148.09,8.94,42.45,118.7,12.61
2018-11-09,7.29,137.87,8.55,39.14,108.99,12.31
2018-11-12,6.96,134.32,8.45,39.18,113.44,11.28
2018-11-13,6.7,132.18,8.31,38.48,111.55,10.3
2018-11-14,6.16,129.25,8.12,34.3,102.34,9.54
2018-11-15,6.64,130.34,8.59,35.33,107.27,10.29
2018-11-16,6.4,132.3,8.56,35.21,110.48,9.74
2018-11-19,6.09,125.39,8.24,32.77,106.77,9.05
2018-11-20,6.03,121.21,8.2,32.16,104.0,8.81
2018-11-21,6.25,125.46,8.53,33.74,109.31,8.83
2018-11-23,6.07,124.05,8.81,33.56,116.03,8.84
2018-11-26,5.68,127.7,8.33,31.55,114.14,8.08
2018-11-27,5.5,121.72,8.29,31.7,114.0,7.74
2018-11-28,5.96,121.53,8.7,34.0,110.88,8.49
2018-11-29,5.66,122.15,8.91,33.18,107.2,7.93
2018-11-30,5.72,123.02,9.15,33.55,102.45,7.9
2018-12-03,5.69,126.25,10.17,33.33,102.94,6.05
2018-12-04,5.4,127.05,10.74,31.45,100.26,4.51
2018-12-06,5.28,122.72,10.45,30.34,99.0,5.54
2018-12-07,5.75,124.84,12.72,31.4,100.25,5.23
2018-12-10,5.73,122.78,12.88,31.02,97.14,5.61
2018-12-11,5.93,122.99,12.82,33.16,94.07,6.14
2018-12-12,6.12,125.28,11.92,32.03,84.48,5.81
2018-12-13,5.71,120.86,11.38,30.82,75.52,5.23
2018-12-14,5.86,119.53,11.28,30.92,75.13,5.6
2018-12-17,5.54,119.15,11.13,29.37,65.89,5.43
2018-12-18,5.53,112.81,11.54,29.23,76.5,5.85
2018-12-19,5.29,110.03,11.17,28.1,71.0,5.4
2018-12-20,5.1,104.11,11.13,27.6,78.3,5.23
2018-12-21,4.88,96.36,10.21,26.22,74.87,4.85
2018-12-24,5.0,98.05,10.1,26.81,71.38,5.55
2018-12-26,5.08,98.28,10.18,27.36,71.5,5.82
2018-12-27,5.1,94.36,10.32,26.81,71.08,5.57
2018-12-28,5.23,95.4,10.42,27.37,75.15,6.26
2018-12-31,4.96,97.39,10.39,26.87,70.54,5.69
2019-01-02,5.24,101.01,11.31,28.92,70.46,6.01
2019-01-03,5.14,99.69,11.54,28.11,70.0,5.97
2019-01-04,5.22,108.88,11.78,28.23,69.95,6.04
2019-01-07,5.26,114.66,12.4,28.9,71.9,6.41
2019-01-08,5.03,117.41,12.36,29.64,83.26,6.33
2019-01-09,5.45,119.54,12.98,33.6,79.7,6.79
2019-01-10,5.94,125.34,13.06,37.55,80.4,6.58
2019-01-11,6.38,125.5,13.67,38.25,96.0,6.92
2019-01-14,6.78,123.93,13.76,42.49,100.15,7.05
2019-01-15,7.0,128.54,13.05,41.3,82.88,6.7
2019-01-16,7.33,128.61,13.42,42.1,85.61,6.65
2019-01-17,6.57,134.5,13.66,42.77,83.45,6.48
2019-01-18,6.44,137.29,14.9,43.52,77.2,6.68
2019-01-22,6.19,139.26,15.07,43.66,72.8,7.08
2019-01-23,6.19,135.75,14.72,43.45,71.74,6.92
2019-01-24,6.62,138.25,15.7,44.21,73.96,6.94
2019-01-25,6.72,138.56,16.02,48.48,75.35,7.16
2019-01-28,7.1,138.07,18.48,50.77,81.93,7.37
2019-01-29,6.89,135.87,18.15,47.13,79.06,7.27
2019-01-30,6.93,140.44,18.43,48.02,77.48,7.66
2019-01-31,7.09,142.75,19.68,48.98,80.49,8.74
2019-02-01,7.4,146.37,20.81,48.88,81.91,9.62
2019-02-04,8.04,147.03,23.25,49.72,83.07,10.84
2019-02-05,7.9,146.94,21.83,48.64,83.27,10.71
2019-02-06,7.57,144.24,19.65,46.53,78.15,9.7
2019-02-07,7.77,139.11,21.42,46.93,79.99,9.57
2019-02-08,7.59,146.76,19.55,45.47,79.24,9.43
2019-02-11,7.17,144.55,19.44,42.94,75.42,8.38
2019-02-12,7.17,147.53,19.67,43.84,75.94,9.05
2019-02-13,7.25,150.22,20.45,46.05,77.29,9.24
2019-02-14,7.1,151.29,20.82,46.12,76.62,9.09
2019-02-15,7.05,150.49,21.29,47.56,76.49,9.6
2019-02-19,6.93,150.17,21.61,46.39,77.03,9.71
2019-02-20,7.07,145.88,22.23,46.27,81.1,10.15
2019-02-21,7.06,143.95,22.47,45.04,79.2,10.38
2019-02-22,6.96,151.6,21.92,44.54,79.07,10.18
2019-02-25,7.29,150.81,20.25,43.86,77.39,9.69
2019-02-26,7.75,152.89,21.64,46.26,78.8,10.32
2019-02-27,7.54,173.99,21.33,45.75,79.3,10.19
2019-02-28,7.56,172.01,21.64,47.41,81.31,10.36
2019-03-01,7.34,177.34,21.71,47.05,79.51,10.14
2019-03-04,7.22,176.43,21.46,46.8,77.25,10.42
2019-03-05,8.1,172.57,23.7,47.88,76.89,10.37
2019-03-06,7.89,166.22,22.79,46.14,75.86,10.08
2019-03-07,7.58,165.81,22.31,45.13,69.72,9.61
2019-03-08,7.75,163.16,21.74,45.4,70.0,9.55
2019-03-11,7.95,169.29,20.92,46.01,70.0,9.76
2019-03-12,7.96,170.97,21.37,46.76,72.15,9.59
2019-03-13,9.07,169.33,21.14,46.08,71.8,9.6
2019-03-14,8.99,166.57,20.82,45.52,72.29,9.52
2019-03-15,9.61,169.32,21.0,45.89,72.5,9.6
2019-03-18,9.94,168.61,21.69,45.69,72.24,10.24
